loop,energy
159,1.6420822704151061
160,1.6281119514991229
161,1.640614757507256
162,1.6330244689802869
163,1.6283415881356278
164,1.630180072802311
165,1.6284754433941424
166,1.6250600643682307
167,1.6223024883330659
168,1.6223594039075013
169,1.6268654017192239
170,1.6209437144424381
171,1.6195877521566775
172,1.6191103042600665
173,1.6192871706387491
174,1.617640303628312
175,1.6083929864317541
176,1.6133211539234158
177,1.6122099339792084
178,1.6092254095904313
179,1.6110242186842858
180,1.612383280761893
181,1.6013635583881511
182,1.6020292635848885
183,1.6096843963319232
184,1.6006435883838401
185,1.6009876451461833
186,1.6048946789676974
187,1.6026191709085289
188,1.5923898765025262
189,1.5953266215855229
190,1.6024261264031054
191,1.5956070202022343
192,1.5969477785953088
193,1.5899673887505703
194,1.594121532347309
195,1.5864175770271047
196,1.5850418486217366
197,1.5888819439962003
198,1.5894898005784723
199,1.5816637801878064
200,1.589982260458767
201,1.592597794243017
202,1.5868661945602782
203,1.5769635709810352
204,1.5832803818573287
205,1.584279739359759
206,1.5774466945747885
207,1.5806169080133388
208,1.5829200778077455
209,1.576916991168591
210,1.5720363931593289
211,1.5784889674666391
212,1.5769828797356038
213,1.5719197768613384
214,1.5726586546542276
215,1.5729567716413473
216,1.5655719607544654
217,1.571940733293282
218,1.572333873785063
219,1.5738341088836558
220,1.5663992665824742
221,1.5665482942078217
222,1.5692277449445944
223,1.5627672172295588
224,1.5627120490652882
225,1.5675710704146522
226,1.5612549957595625
227,1.5671695365537426
228,1.5606912943983067
229,1.5627370258529309
230,1.5639368818768296
231,1.5553140028727634
232,1.5577105563528748
233,1.5636235886002201
234,1.5561629975293341
235,1.550743730839681
236,1.5525097066386784
237,1.5612020178741532
238,1.5527043414824488
239,1.5488505821842624
240,1.5612927556108476
241,1.5489796225737056
242,1.5440980790026742
243,1.5595553120843912
244,1.5468238877947282
245,1.547381257717092
246,1.5526027321813716
247,1.5518168521323323
248,1.5484406228190604
249,1.5408762284450648
250,1.5488595689335451
251,1.5489797340114972
252,1.5367897855884476
253,1.5513481831626335
254,1.5455301248320132
255,1.5460383012363044
256,1.5393470376030207
257,1.5454226311922428
258,1.5480919651670644
259,1.5261418802369975
260,1.5260648872780336
261,1.5232679391721278
262,1.5167824512368526
263,1.5050465248199318
264,1.5125841650028888
265,1.5062294109375243
266,1.5062145297068554
267,1.5121520383546918
268,1.510398602668815
269,1.5082645093666189
270,1.5032859364520696
271,1.5016593110083458
272,1.5128971009173044
273,1.5111617208330372
274,1.5043960457283123
275,1.5147941220972896
276,1.5081293246769452
277,1.5088808685422141
278,1.5117191024963337
279,1.518302781688917
280,1.5067348679747483
281,1.5030714627409167
282,1.5116891853323364
283,1.5092683344369064
284,1.5026458782736474
285,1.5081890989977007
286,1.5097452262409727
287,1.5030151511486212
288,1.5036899322496025
289,1.5043786280572062
290,1.5056508576514418
291,1.496231257026065
292,1.5019308282882515
293,1.4989300561020862
294,1.5026199826046349
295,1.4971663221818632
296,1.4966473318643392
297,1.5010425381892289
298,1.4915952669174775
299,1.4998543221499663
300,1.5033552280764406
301,1.4946085403756488
302,1.4976808654165901
303,1.5007191713571988
304,1.4987468545138147
305,1.493928479502022
306,1.4939222947817732
307,1.4905347332645345
308,1.4980224252013403
309,1.4861438861208787
310,1.4923416439776884
311,1.4886480190206917
312,1.4826688642186747
313,1.5379313618176966
314,1.6295911643836174
315,1.5840971750978583
316,1.4963246174663205
317,1.4953381069194043
318,1.4931697725500039
319,1.4871953766591191
320,1.4854486552779973
321,1.4891522320052855
322,1.49049530958329
323,1.4851178669638829
324,1.4834426304071089
325,1.4889612800498766
326,1.4842595085561376
327,1.4767852767163987
328,1.4852350203412465
329,1.4842234478401992
330,1.4787880571625021
331,1.466643169202777
332,1.6095832515230712
333,1.6132736232716154
334,1.6156124102581835
335,1.6114753558249453
336,1.5634842079617519
337,1.4770429138027006
338,1.4788176901584595
339,1.4746141086522386
340,1.4807464387173206
341,1.4722557335917039
342,1.4772642363516502
343,1.4791669966381669
344,1.4684248840641847
345,1.4746469059240297
346,1.4764522125282109
347,1.4749911841780559
348,1.4718501064945415
349,1.4725907781987124
350,1.4743414419429233
351,1.4715794395499486
352,1.4603683018028046
353,1.473491088379336
354,1.4669853280678127
355,1.4635239415952617
356,1.4664057455219301
357,1.4691702133888589
358,1.4643052329933319
359,1.4623005310362083
360,1.4677212836227747
361,1.4589677637263365
362,1.4666198663415664
363,1.4570629738522138
364,1.4654504299416622
365,1.4645648691519231
366,1.4530232226882582
367,1.4609125452748351
368,1.4637121104181652
369,1.4529019318168495
370,1.4566384614984491
371,1.4555182807168641
372,1.4556967482781089
373,1.4550794702292376
374,1.4523497309372397
375,1.4540436042841265
376,1.4422752177842348
377,1.4478300333246872
378,1.4547929482837936
379,1.4499720009244124
380,1.4531804619864628
381,1.4527835465926522
382,1.4474128304139795
383,1.4487610480622899
384,1.4401741597076576
385,1.4531503277047888
386,1.4510576949787344
387,1.443899294427178
388,1.4461446520989978
389,1.4491251099728069
390,1.4425120654399317
391,1.4405117625555965
392,1.4458197548341234
393,1.4449178108567013
394,1.4366389101630919
395,1.4393299390616308
396,1.4445203431460445
397,1.4410680995891996
398,1.4388285407213883
399,1.441662707108496
400,1.4441041474685292
401,1.4427301875252319
402,1.4268634896908741
